OBJECTID,BOUNDARY,LEGEND,DATA_SRC,Shape__Length
1414,Town,Town,CT,21950.7860672337
1415,Town,Town,CT,39762.7147600568
1416,Town,Town,NY,63831.9976480444
1417,Town,Town,NY,55670.6282854641
1418,Town,Town,CT,19859.2310943502
1419,Town,Town,CT,31887.695175262
1420,Town,Town,CT,12890.340364741
1421,Town,Town,CT,47252.1404908954
1422,Town,Town,CT,7859.38391153398
1423,Town,Town,CT,58116.2037015577
1424,County,Town,NY,43027.3742330072
1425,County,Town,NY,31637.8548374306
1426,Town,Town,NY,23134.5646746165
1427,Town,Town,CT,12706.1099704038
1428,Town,Town,CT,32882.7469599547
1429,County,Town,NY,1791.8206132999
1430,County,Town,NY,1188.25059117977
1431,Town,Town,CT,12592.974466738
1432,Town,Town,CT,35956.9175002542
1433,Town,Town,CT,18228.2658492766
1434,Town,Town,CT,14435.0115679317
1435,Town,Town,CT,23580.312580666
1436,Town,Town,CT,6327.44151996951
1437,Town,Town,CT,31813.659562933
1438,County,Town,CT,10769.8796530314
1439,Town,Town,CT,14706.8715059842
1440,Town,Town,CT,16776.6585148692
1441,Town,Town,CT,16134.5364546396
1442,Town,Town,CT,4813.64125385525
1443,Town,Town,CT,2371.56521496967
1444,Town,Town,CT,21676.2524179999
1445,Town,Town,CT,46537.5916065722
1446,Town,Town,CT,23522.1009651157
1447,County,Town,CT,42655.602454923
1448,Town,Town,CT,12664.7393327584
1449,Town,Town,NY,23918.546738037
1450,Town,Town,CT,24685.1748433735
1451,State,State,CT,23584.3555364247
1452,Town,Town,NY,38939.0298237881
1453,County,Town,NY,16210.4906204067
1454,Town,Town,NY,32755.1065355517
1455,Town,Town,CT,10064.7904855336
1456,County,Town,CT,23392.7707485296
1457,Town,Town,CT,31614.0303353343
1458,County,Town,NY,14838.7187206253
1459,Town,Town,CT,19343.2472595664
1460,Town,Town,CT,21416.8855148341
1461,Town,Town,CT,64518.8262469389
1462,County,Town,NY,6442.25765756538
1463,Town,Town,CT,24659.7041961553
1464,Town,Town,NY,52299.1087730477
1465,Town,Town,CT,18080.8864824638
1466,County,Town,CT,11454.1592499979
1467,Town,Town,CT,30319.1393259169
1468,County,Town,CT,21178.6808135039
1469,Town,Town,CT,20425.3547976442
1470,Town,Town,CT,26675.729978173
1471,County,Town,NY,17238.2150405275
1472,Town,Town,NY,8672.56573757754
1473,Town,Town,NY,24841.8652525881
1474,Town,Town,CT,25397.8712859617
1475,Town,Town,CT,1382.45297507974
1476,Town,Town,CT,18658.5036918039
1477,County,Town,CT,997.808327521356
1478,Town,Town,NY,33460.8052568219
1479,Town,Town,CT,24601.5829443689
1480,Town,Town,CT,18489.6306372748
1481,Town,Town,CT,4550.66818031174
1482,County,Town,CT,8044.73032597333
1483,Town,Town,CT,21809.6661102452
1484,County,Town,CT,2250.84605137385
1485,Town,Town,CT,32122.1835156199
1486,County,Town,NY,9107.25919280987
1487,Town,Town,NY,16222.9373494609
1488,Town,Town,CT,29338.2183940552
1489,Town,Town,CT,28895.7198958252
1490,Town,Town,CT,2158.94105796424
1491,Town,Town,NY,4187.95246517749
1492,Town,Town,NY,39229.2266012959
1493,Town,Town,CT,20313.3198027717
1494,State,State,CT,27734.7863358878
1495,Town,Town,CT,27836.2025685667
1496,Town,Town,CT,13170.6397409162
1497,County,Town,NY,24195.1163878959
1498,Town,Town,CT,2078.54274962865
1499,Town,Town,NY,45886.1742830791
1500,Town,Town,CT,26753.8281728922
1501,Town,Town,NY,10444.2482867011
1502,County,Town,NY,15649.8846410029
1503,Town,Town,CT,27429.4988237767
1504,State,State,CT,11192.7347599727
1505,Town,Town,CT,34751.493364539
1506,Town,Town,NY,32658.7371442539
1507,Town,Town,NY,48388.0234637514
1508,Town,Town,NY,9296.70820809648
1509,State,State,CT,8943.20009866505
1510,Town,Town,NY,41755.7832824792
1511,County,Town,CT,22777.1654013339
1512,Town,Town,CT,8327.95142689106
1513,Town,Town,NY,8284.09670128098
1514,Town,Town,NY,2598.9414900142
1515,Town,Town,NY,9801.80893879471
1516,Town,Town,NY,26389.4704683807
1517,Town,Town,NY,31961.232334191
1518,Town,Town,NY,28910.8635366169
1519,Town,Town,CT,28959.1733228443
1520,Town,Town,NY,20311.6066129552
1521,State,State,CT,13659.76947197
1522,Town,Town,NY,29543.3996856216
1523,Town,Town,NY,27125.98913465
1524,Town,Town,NY,18996.900461227
1525,Town,Town,CT,15963.6797630047
1526,Town,Town,CT,21634.4085039019
1527,Town,Town,CT,5698.82366505192
1528,County,Town,NY,8217.11261679096
1529,Town,Town,NY,23734.0710383983
1530,Town,Town,NY,8461.54721308594
1531,Town,Town,CT,2626.39234481608
1532,Town,Town,NY,4845.25921980904
1533,Town,Town,NY,28981.8857303575
1534,Town,Town,CT,583.983008825859
1535,Town,Town,NY,22460.7688960634
1536,Town,Town,CT,1153.88457686559
1537,State,State,CT,19011.9942799299
1538,Town,Town,NY,14088.6246943143
1539,Town,Town,CT,18569.1427640006
1540,Town,Town,CT,27501.8195194965
1541,Town,Town,CT,36694.6344105529
1542,Town,Town,NY,29775.0899236128
1543,Town,Town,NY,28505.3959673915
1544,State,State,CT,6355.38329079367
1545,Town,Town,CT,1150.68766410365
1546,Town,Town,NY,15081.787659238
1547,County,Town,NY,15265.3268054605
1548,Town,Town,NY,4551.24997561372
1549,Town,Town,NY,5423.29891337215
1550,Town,Town,CT,31571.3743492181
1551,Town,Town,CT,212.179317378382
1552,Town,Town,NY,7199.5146609
1553,Town,Town,CT,32855.0313066369
1554,Town,Town,CT,15972.7125392928
1555,Town,Town,CT,7736.8732058379
1556,Town,Town,NY,9089.52672334793
1557,Town,Town,NY,55437.9195179139
1558,Town,Town,CT,25643.0278115323
1559,Town,Town,NY,8237.67685972686
1560,Town,Town,CT,657.401888859598
1561,Town,Town,CT,42.2517673540591
1562,Town,Town,CT,51.8616208785039
