Town,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Stamford,116029,117700,122795,113466,106104,110171,111773,111372,104441,104976,106337,104570,103856,104009,105279,113536,109636,111492
Sterling,36676,37493,37974,34869,35886,35181,37350,36511,35481,35017,35748,36490,33179,36618,38951,38368,38305,43768
Stonington,37145,37971,38992,38456,38320,39003,39871,39167,37717,36676,37569,39319,38800,38674,39314,43584,41943,43667
Stratford,56252,59165,59221,59151,60864,60027,59167,58299,57468,57646,61221,59440,58222,58004,58239,60416,57423,58884
Suffield,39417,43591,44314,44846,45486,45571,45002,43418,43622,44265,45583,44826,44350,44867,44766,48053,46963,48237
Thomaston,46177,45084,44125,44459,43595,45514,45834,44694,46746,46470,46936,45378,44077,45503,46155,50250,47281,47821
Thompson,35819,35171,36039,35490,35379,36308,36195,35975,33928,36461,39115,37758,36726,35890,34859,38187,36529,37023
Tolland,48477,49127,47929,47491,45947,47872,51281,48119,46670,46146,47437,50737,50148,49567,48969,49590,49201,48198
Torrington,42051,41844,41493,40588,41371,41306,40242,40174,39616,39419,40919,40644,40608,40411,40319,42437,41254,43183
Trumbull,61205,55348,56275,53085,55197,54105,54579,53883,52024,49113,50101,49292,49127,48767,47228,51604,48728,50425
Union,26684,28941,35241,35845,39795,45081,32215,30191,31767,36295,37731,39570,35312,36204,42439,39900,41189,40019
Vernon,36242,36973,36758,36785,37702,37378,36641,35910,36230,36663,38289,37675,36923,36099,35919,38355,38450,40193
Voluntown,29906,30007,28177,30064,29019,30907,30128,28890,27946,26539,28559,29323,34317,28329,29089,33053,32302,34280
Wallingford,53193,53026,53935,55886,54296,53870,53795,55041,55780,56062,57137,56956,55258,51806,51409,52553,47622,49753
Warren,52121,43889,40708,38290,37060,37727,39331,39390,39555,37628,41341,42523,43481,41102,40666,40809,42806,50997
Washington,42533,43135,43401,43128,41960,41925,41141,40878,40977,40618,42215,42251,41878,40576,41395,49068,45193,49001
Waterbury,42144,41317,42766,42790,43242,42861,41980,41425,39851,39905,41389,40768,40869,40269,40408,43111,41510,43316
Waterford,42600,42641,43380,46255,45106,44444,43924,41414,41155,43755,43230,43566,45264,44368,45634,51454,46994,48469
Watertown,42939,44212,44860,43015,43854,45200,44563,43260,42926,42827,43606,42782,42082,42468,41491,44950,42000,43291
West hartford,43058,43346,44134,43712,43716,43594,42573,42831,42939,42604,43738,43789,43026,42812,42764,45893,44956,46613
West haven,48135,47845,46920,41717,47404,48143,47810,47830,48291,47676,49232,49911,49065,48856,48975,52296,52067,50382
Westbrook,38881,39400,40558,40534,39271,39031,39130,39794,39814,40755,43082,42859,43867,45617,46235,48953,48767,53464
