Town,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
New fairfield,3.7,3.3,3.4,4.3,7.2,8.7,7.9,7.1,6.6,5.2,4.6,4.1,3.8,3.2,3.1,7.1,5.4,4.2
New hartford,3.8,3.5,3.9,4.7,7.1,8.1,7.3,6.4,6.9,5.6,4.6,4.1,3.6,3.2,2.8,5.8,4.8,3.2
New haven,7.2,6.8,7.3,8.4,11.4,12.4,12,11.2,10.5,8.5,7.2,6.1,5.6,4.7,4.2,8.8,7.8,4.8
New london,6,5.4,5.7,6.9,9.6,12.5,12.4,12.4,11.7,9.3,8.1,6.8,5.9,5.2,4.8,13.3,10,5.7
New milford,3.8,3.4,3.6,4.5,7.1,8,7.5,7.1,6.9,5.5,4.7,4.2,3.8,3.4,3.1,7.5,5.8,3.7
Newington,4.3,3.8,4.1,4.8,7.3,8.6,7.9,7.1,6.7,5.5,4.7,4.2,3.8,3.4,3.3,7.4,5.4,3.6
Newtown,3.6,3.1,3.2,4.1,6.4,7.4,6.9,6.2,6,5,4.3,4.1,3.6,3.3,2.9,6.3,5.1,3.6
Norfolk,4.4,4.1,4,4.9,7,8.1,6.8,7,8.1,6.1,4.7,4.2,3.4,3.3,3.1,5.9,4.4,3.3
North branford,4.3,3.8,4.6,5.2,8,8.5,8.1,7.3,6.6,5.6,5,4.2,3.7,3.3,3,5.9,4.9,3.7
North canaan,4.3,3.9,4,4.9,6.8,9,8.7,8,7,5.7,4.7,4.5,3.5,3.3,3.3,6.4,5.1,3.5
North haven,3.5,3.5,3.8,4.9,7.4,8.5,8.2,7.4,6.9,5.7,4.9,4.2,3.8,3.3,3.1,6.8,4.9,3.6
North stonington,4,3.9,3.7,4.1,6.7,8.2,7.3,7.7,7.8,6.3,4.7,3.9,3.5,3.2,3.1,7,5.4,3.8
Norwalk,4.1,3.7,3.8,4.7,7.5,8.2,7.7,7.1,6.8,5.8,5,4.3,4,3.5,3.3,8.2,5.8,3.9
Norwich,5.4,5.1,5.2,6.3,9.1,10.7,10.2,9.8,9.6,8.1,6.9,5.7,4.7,4.2,3.9,14.1,8.8,4.7
Old lyme,3.4,3.1,3.5,4,6.1,7.8,7.1,7,6.7,5.6,4.6,3.7,3.7,3.4,3.1,6.9,5.7,4
Old saybrook,3.9,3.6,3.6,4.5,6.2,8.3,7.8,7,6.5,5.3,4.6,4.1,3.8,3.2,3,6.6,5.2,3.8
Orange,3.7,3.4,3.3,4.2,6.1,7,6.9,6.4,6.2,5.1,4.4,3.8,3.2,3,2.8,6.2,4.3,3.1
Oxford,3.8,3.4,3.5,4.5,6.7,8.1,7.4,6.7,6.6,5.7,4.9,4.1,3.9,3.1,3,6.4,5.4,3.7
Plainfield,6.3,5.6,5.9,7.3,10.4,11.5,10.9,10.1,10,8.2,6.9,5.7,5.1,4.5,4.2,8.6,6.2,3.9
Plainville,5.2,4.5,4.7,5.8,8.6,10.1,8.8,8.1,7.8,6.3,5.2,4.7,4.6,3.8,3.4,7.8,6.3,4.1
Plymouth,5.6,5.1,5.5,6.6,10.2,11.9,10.4,9.2,8.9,7.7,6.4,5.5,4.9,4.3,4.3,8.1,6.3,4.8
Pomfret,4.2,4.3,4,4.9,8.3,8.6,7.2,7,6.6,5.2,4.3,3.4,3,3.1,2.6,4.9,4.2,2.8
Portland,4.2,3.6,4.2,4.8,7.1,8.2,7.7,7,6.7,5.8,4.9,4.6,3.9,3.5,3.1,6.5,4.9,3.7
Preston,4,3.6,4.1,4.7,6.9,9.5,8.7,8.9,8.1,7,5.3,4.8,4.6,3.7,3.6,9.9,6.8,4.5
Prospect,4.2,3.9,4.2,5.1,7.8,9,8.1,7.4,6.6,5.8,5.1,3.9,3.7,3.4,3.2,6,4.9,3.7
Putnam,5.3,5.4,5.8,6.8,9.4,10.8,10.7,10.3,9.6,7.5,6.7,5.5,5,4.5,3.8,8.5,6.4,4.6
Redding,3.1,2.8,2.7,3.7,5.9,6.8,6.6,6.6,6.1,4.8,4.4,3.9,3.5,2.9,2.9,6.2,4.7,3.8
